No.,headline,time,author,points,link
1,Google’s OAuth login doesn’t protect against purchasing a failed startup domain,4 hours ago,simiones,286 points,https://trufflesecurity.com/blog/millions-at-risk-due-to-google-s-oauth-flaw
2,Apple will soon receive 'made in America' chips from TSMC's Arizona fab,3 hours ago,rbanffy,280 points,https://www.tomshardware.com/tech-industry/apple-will-soon-receive-made-in-america-chips-from-tsmcs-arizona-fab-company-in-final-stages-of-quality-verification
3,The Rise and Fall of the English Sentence (2017),2 hours ago,cal85,16 points,https://nautil.us/the-rise-and-fall-of-the-english-sentence-236880/
4,Show HN: WASM-powered codespaces for Python notebooks on GitHub,2 hours ago,mscolnick,42 points,https://docs.marimo.io/guides/publishing/playground/#open-notebooks-hosted-on-github
5,"Servo vs. steppers: Speed, Torque and Accuracy [video]",6 hours ago,f1shy,77 points,https://www.youtube.com/watch?v=H-nO1F-AO9I
6,Data evolution with set-theoretic types,3 hours ago,josevalim,49 points,https://dashbit.co/blog/data-evolution-with-set-theoretic-types
7,Dbt Labs acquires SDF Labs,5 hours ago,karakanb,65 points,https://www.getdbt.com/blog/dbt-labs-acquires-sdf-labs
8,Reversible computing escapes the lab,9 hours ago,jasondavies,164 points,https://spectrum.ieee.org/reversible-computing
9,Hotel booking sites overcharge Bay Area customers,8 hours ago,ekelsen,98 points,https://www.sfgate.com/travel/article/hotel-booking-sites-overcharge-bay-area-travelers-20025145.php
10,Executive order on advancing United States leadership in AI infrastructure,2 hours ago,Philpax,70 points,https://www.whitehouse.gov/briefing-room/presidential-actions/2025/01/14/executive-order-on-advancing-united-states-leadership-in-artificial-intelligence-infrastructure/
11,Show HN: Value likelihoods for OpenAI structured output,3 hours ago,ngrislain,16 points,https://arena-ai.github.io/structured-logprobs/
12,"Cosmos Keyboard: Scan your hand, build a keyboard",7 hours ago,cdata,70 points,https://ryanis.cool/cosmos/
13,The Shepherd 1.0.0 released,4 hours ago,sharpshadow,101 points,https://guix.gnu.org/en/blog/2024/the-shepherd-1.0.0-released/
14,"Mastodon announces new European non-profit, change of CEO",5 hours ago,andypiper,102 points,https://blog.joinmastodon.org/2025/01/the-people-should-own-the-town-square/
15,The Missing Nvidia GPU Glossary,8 hours ago,birdculture,71 points,https://modal.com/gpu-glossary/readme
16,Carnarvon's NASA satellite dish receives first signal in almost 40 years,10 hours ago,zdw,80 points,https://www.abc.net.au/news/2024-12-03/carnarvon-nasa-dish-receives-signal-repairs/104672866
17,Craniometrix (YC W22) is hiring a founding engineer on CTO track,5 hours ago,belter,323 points,https://www.ycombinator.com/companies/craniometrix/jobs/5Ucqf0Q-founding-full-stack-engineer-cto-track
18,"1 in 5 online job postings are either fake or never filled, study finds",4 hours ago,ColinWright,11 points,https://gizmodo.com/1-in-5-online-job-postings-are-either-fake-or-never-filled-study-finds-2000549706
19,Stories from the Internet,20 hours ago,weitzj,306 points,https://dbrgn.ch/stories-from-the-internet.html
20,"Webtop – Alpine,Ubuntu,Fedora,and Arch containers containing full desktop envs",9 hours ago,surprisetalk,97 points,https://docs.linuxserver.io/images/docker-webtop/
21,A couple CSS tricks for HTML Dialog elements,7 hours ago,stafford_beer,404 points,https://cassidoo.co/post/css-for-dialogs/
22,In the belly of the MrBeast,13 hours ago,scrp,324 points,https://kevinmunger.substack.com/p/in-the-belly-of-the-mrbeast
23,ZFS 2.3 released with ZFS raidz expansion,1 day ago,jonotime,127 points,https://github.com/openzfs/zfs/releases/tag/zfs-2.3.0
24,Nix – Death by a Thousand Cuts,13 hours ago,MrBuddyCasino,78 points,https://www.dgt.is/blog/2025-01-10-nix-death-by-a-thousand-cuts/
25,The DevOps Engineer's Handbook,5 hours ago,Bluestein,31 points,https://octopus.com/devops/
26,Glicol: Next-generation computer music language,20 hours ago,justneedaname,72 points,https://glicol.org/
27,Ask HN: How do you prevent the impact of social media on your children?,5 hours ago,0xferruccio,31 points,item?id=42683494
28,Show HN: A daily digest for reMarkable,4 hours ago,utiiiD,99 points,https://digest.ferrucc.io/
29,LLM based agents as Dungeon Masters,18 hours ago,handfuloflight,180 points,https://studenttheses.uu.nl/bitstream/handle/20.500.12932/47209/Thesis_Final.pdf?sequence=1&isAllowed=y
